sample_code_x,detection_items,department,order_date,order_num,report_date,conclusion,receive_date,sample_code_format,infer_receive_date,create_time,sample_date,random_num_x,event_flight,id,Unnamed: 0,date,code,gene_name,file_name,path,sample_code_y,random_num_y,data_num
ZBAD2020-349-mianqiu,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.3,SEQ2020100165795,2020.10.01,,2020.10.01,ZBAD2020-349-mianqiu,2020-10-01,2020.10.01,2020.10.01,65795,MF8202,1640,270,20200825,MF,COI-1,MF8202_COI-1_C2790.COI-1-bird-F.PW009030669.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/MF8202_COI-1_C2790.COI-1-bird-F.PW009030669.seq,MF8202,23318,MFCOI-12020082523318
ZBAD2020-349-mianqiu,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.3,SEQ2020100165795,2020.10.01,,2020.10.01,ZBAD2020-349-mianqiu,2020-10-01,2020.10.01,2020.10.01,65795,MF8202,1640,276,20200825,MF,cytb,MF8202_L14995-H16065_C2790.L14995.PW009030773.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/Cytb/良好/MF8202_L14995-H16065_C2790.L14995.PW009030773.seq,MF8202,24846,MFcytb2020082524846
ZBAD2020-383,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.10.13,SEQ2020101511809,2020.10.15,,2020.10.15,ZBAD2020-383,2020-10-15,2020.10.15,2020.10.15,11809,MF8202,1683,270,20200825,MF,COI-1,MF8202_COI-1_C2790.COI-1-bird-F.PW009030669.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/MF8202_COI-1_C2790.COI-1-bird-F.PW009030669.seq,MF8202,23318,MFCOI-12020082523318
ZBAD2020-383,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.10.13,SEQ2020101511809,2020.10.15,,2020.10.15,ZBAD2020-383,2020-10-15,2020.10.15,2020.10.15,11809,MF8202,1683,276,20200825,MF,cytb,MF8202_L14995-H16065_C2790.L14995.PW009030773.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/Cytb/良好/MF8202_L14995-H16065_C2790.L14995.PW009030773.seq,MF8202,24846,MFcytb2020082524846
ZBAD2020-12,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052163773,2020.05.21,,2020.05.21,ZBAD2020-12,2020-05-21,2020.05.21,2020.05.21,63773,KN5956,1049,253,20200825,KN,COI-1,KN5956_COI-1_C2790.COI-1-bird-F.PW009030679.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/KN5956_COI-1_C2790.COI-1-bird-F.PW009030679.seq,KN5956,31548,KNCOI-12020082531548
ZBAD2020-12,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052163773,2020.05.21,,2020.05.21,ZBAD2020-12,2020-05-21,2020.05.21,2020.05.21,63773,KN5956,1049,288,20200825,KN,cytb,KN5956_L14995-H16065_C2790.L14995.PW009030787.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/Cytb/良好/KN5956_L14995-H16065_C2790.L14995.PW009030787.seq,KN5956,15704,KNcytb2020082515704
ZBAD2020-440,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.10.28,SEQ2020110258204,2020.11.02,,2020.11.02,ZBAD2020-440,2020-11-02,2020.11.02,2020.11.02,58204,KN5956,1783,253,20200825,KN,COI-1,KN5956_COI-1_C2790.COI-1-bird-F.PW009030679.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/KN5956_COI-1_C2790.COI-1-bird-F.PW009030679.seq,KN5956,31548,KNCOI-12020082531548
ZBAD2020-440,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.10.28,SEQ2020110258204,2020.11.02,,2020.11.02,ZBAD2020-440,2020-11-02,2020.11.02,2020.11.02,58204,KN5956,1783,288,20200825,KN,cytb,KN5956_L14995-H16065_C2790.L14995.PW009030787.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/Cytb/良好/KN5956_L14995-H16065_C2790.L14995.PW009030787.seq,KN5956,15704,KNcytb2020082515704
ZBAD2020-13,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052191684,2020.05.21,,2020.05.21,ZBAD2020-13,2020-05-21,2020.05.21,2020.05.21,91684,NS8040,1050,1622,20200905,NS,COI-1,NS8040_COI-1_C2842.COI-1-bird-F.PW009170139.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/NS8040_COI-1_C2842.COI-1-bird-F.PW009170139.seq,NS8040,28194,NSCOI-12020090528194
ZBAD2020-14,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052126267,2020.05.21,,2020.05.21,ZBAD2020-14,2020-05-21,2020.05.21,2020.05.21,26267,NS8018,1051,1556,20200905,NS,cytb,NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,NS8018,25079,NScytb2020090525079
ZBAD2020-14,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052126267,2020.05.21,,2020.05.21,ZBAD2020-14,2020-05-21,2020.05.21,2020.05.21,26267,NS8018,1051,1591,20200905,NS,COI-1,NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,NS8018,74107,NSCOI-12020090574107
ZBAD2020-339,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.3,SEQ2020100130443,2020.10.01,,2020.10.01,ZBAD2020-339,2020-10-01,2020.10.01,2020.10.01,30443,NS8018,1630,1556,20200905,NS,cytb,NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,NS8018,25079,NScytb2020090525079
ZBAD2020-339,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.09.3,SEQ2020100130443,2020.10.01,,2020.10.01,ZBAD2020-339,2020-10-01,2020.10.01,2020.10.01,30443,NS8018,1630,1591,20200905,NS,COI-1,NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/COI-1/良好/NS8018_COI-1_C2842.COI-1-bird-F.PW009170158.seq,NS8018,74107,NSCOI-12020090574107
ZBAD2021-30,飞鸟残骸鉴定（常规）,北京大兴国际机场,2021.04.03,SEQ2021040649615,2021.04.06,,2021.04.06,ZBAD2021-30,2021-04-06,2021.04.06,2021.04.06,49615,NS8018,1900,1556,20200905,NS,cytb,NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,bird_strike/20200905北京大兴机场64个样品结果/测序结果/cytb/良好/NS8018_L14995-H16065_C2842.L14995.PW009170222.seq,NS8018,25079,NScytb2020090525079
